,Pos,No.,Name,Club,Category,Time Taken,Award,Generation,Newcomer,Events,Generation,Ingleborough,Cold Cotes,Whernside,Ribblehead,Pen-y-ghent,Finish
Details/Certificate,132nd,363,Tom Bird,PB Performance,MV40,04:01:50,Second, ,N,0, ,01:02:42,01:21:19,02:17:58,02:42:12,03:39:53,04:01:50
Details/Certificate,133rd,626,Richard Wilson,U/A Carlisle,MV50,04:01:55,Second, , ,2, ,01:01:18,01:19:10,02:14:47,02:39:46,03:39:15,04:01:55
Details/Certificate,134th,285,Damian Robertson,Cyclocrossrider.com,MV40,04:02:12,Second, , ,2, ,00:58:29,01:17:13,02:11:47,02:36:06,03:38:09,04:02:12
Details/Certificate,135th,266,Ryan Harris,C & N Cycles,MV40,04:02:15,Second, ,N,0, ,00:54:34,01:10:24,02:06:15,02:29:24,03:37:25,04:02:15
Details/Certificate,136th,198,Mark McGoldrickTwitter,Team Sutcliffe Con,M,04:02:28,Second, , ,3, ,00:55:58,01:12:38,02:06:06,02:30:26,03:37:40,04:02:28
Details/Certificate,137th,561,Anthony Dyment,North Hampshire RC,MV50,04:02:31,Second, , ,3, ,00:59:19,01:17:30,02:12:45,02:36:37,03:35:09,04:02:31
Details/Certificate,138th,535,John Docker,Huddersfield Star Wheelers,MV50,04:03:05,Second, , ,4, ,00:59:40,01:17:15,02:14:24,02:37:52,03:38:38,04:03:05
Details/Certificate,139th,79,Dan CharltonInstagramStrava,U/A Durham,MU23,04:03:08,Second, , ,1, ,00:59:30,01:17:22,02:12:41,02:37:06,03:39:36,04:03:08
Details/Certificate,140th,127,Sam Flanagan,Hope Factory Racing,M,04:03:28,Second, , ,1, ,00:59:29,01:14:20,02:11:34,02:32:23,03:42:00,04:03:28
Details/Certificate,141st,396,James Eddison,SwissSide Zürich,,,,,,,,,,,,,
Details/Certificate,142nd,532,Ian Weatherill,Hope Factory Racing,MV50,04:03:52,Second,G, ,9,P/S Ian & William Weatherill,01:02:41,01:18:59,02:16:00,02:39:14,03:41:18,04:03:52
Details/Certificate,143rd,455,Bob Johnston,U/A Sheffield,MV40,04:04:02,Second, , ,1, ,01:00:51,01:19:43,02:14:20,02:40:03,03:39:00,04:04:02
Details/Certificate,144th=,408,Richard AllanFacebookTwitter,TNFC,MV40,04:04:51,Second, , ,6, ,01:01:27,01:18:31,02:15:40,02:39:15,03:41:31,04:04:51
Details/Certificate,144th=,521,Richard Allen,Here Come The Belgians,MV50,04:04:51,Second, , ,10, ,01:00:45,01:17:50,02:14:15,02:38:20,03:40:40,04:04:51
Details/Certificate,146th,375,James Lyon,Rapha Cycling Club,MV40,04:05:01,Second, , ,8, ,00:59:49,01:19:23,02:16:12,02:41:29,03:40:30,04:05:01
Details/Certificate,147th,602,Rob Watson,Will's Wheels CC,MV50,04:05:07,Second, ,N,0, ,01:00:34,01:18:28,02:14:39,02:38:42,03:43:59,04:05:07
Details/Certificate,148th,216,Calllum Sewell,York Cycleworks,M,04:05:19,Second,G,N,0,P/S Richard & Callum Sewell,00:56:34,01:13:51,02:09:36,02:45:39,03:44:47,04:05:19
Details/Certificate,149th,211,Alex McNicol,Velo Club Moulin,M,04:05:22,Second, , ,1, ,00:57:22,01:21:14,02:19:43,02:43:08,03:43:47,04:05:22
Details/Certificate,150th,302,Russell Jones,Hackney GT,MV40,04:05:43,Second, , ,10, ,01:02:07,01:18:59,02:17:12,02:41:16,03:41:59,04:05:43
Details/Certificate,151st,5,Christina Wiejak,Barrow Central Wheelers,F,04:05:44,Second, , ,1, ,01:00:52,01:20:20,02:16:42,02:43:25,03:40:59,04:05:44
Details/Certificate,152nd,145,Steve Chapman,Islabikes,M,04:05:50,Second, , ,2, ,01:06:39,01:24:10,02:20:22,02:43:14,03:42:57,04:05:50
Details/Certificate,153rd,162,Paul Shears,Moonglu CC,M,04:05:52,Second, ,N,0, ,00:58:08,01:16:02,02:10:03,02:34:23,03:39:34,04:05:52
Details/Certificate,154th,425,Michael Williams,White Nancy Boys,MV40,04:05:55,Second, ,N,0, ,01:01:53,01:19:35,02:17:42,02:41:01,03:43:03,04:05:55
Details/Certificate,155th,64,Matthew Lister,Paul Milnes Cycles / Bradford Olympic RC,MU18,04:05:59,Second, ,N,0, ,00:58:33,01:16:57,02:12:16,02:38:52,03:40:22,04:05:59
Details/Certificate,156th,540,Tim Edward,Ilkley CC,MV50,04:06:23,Second, , ,3, ,00:57:14,01:14:22,02:09:37,02:34:12,03:36:54,04:06:23
